"","season","PlotID","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes"
"3153","B","501","X","60","0.05","0.05","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3164","B","308","X","30","10.4","10.4","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3165","B","308","X","60","0.333","0.333","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3166","B","407","X","30","0.05","0.025","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3167","B","407","X","60","0.05","0.025","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3168","B","105","X","30","0.05","0.025","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3169","B","105","X","60","0.05","0.025","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3172","B","504","X","30","0.067","0.0335","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3173","B","504","X","60","0.067","0.0335","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"3178","B","402","X","30","3.533","3.533","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","1","Crypto"
"3179","B","402","X","60","0.1","0.05","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","1","Crypto"
"4571","C","105","X","30","0.077","0.0385","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4572","C","105","X","60","0.013","0.0065","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4573","C","110","X","30","0.067","0.0335","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4574","C","204","X","30","0.1","0.05","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4575","C","204","X","60","0.011","0.0055","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4577","C","308","X","30","0.033","0.0165","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4578","C","308","X","60","0.014","0.007","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4579","C","402","X","60","0.01","0.005","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4584","C","504","X","60","0.022","0.011","BDL","Crypto_OocystsPer100ml","0","parasiticpathogens","culturable","0","Crypto"
"4589","C","110","X","60","0.025","0.025","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4601","C","402","X","30","0.086","0.086","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4604","C","405","X","30","1.467","1.467","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4605","C","405","X","60","12.386","12.386","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4608","C","407","X","60","0.1","0.1","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"4617","C","504","X","30","0.2","0.2","WR","Crypto_OocystsPer100ml","1","parasiticpathogens","culturable","0","Crypto"
"410","A","104","X","60","11","11","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"411","A","105","X","30","0.32","0.32","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"412","A","105","X","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"423","A","204","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"424","A","204","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"432","A","308","X","30","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"433","A","308","X","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"436","A","402","X","30","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"437","A","402","X","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"440","A","405","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"441","A","405","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"444","A","407","X","30","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"445","A","407","X","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"452","A","501","X","30","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"453","A","501","X","60","0.41","0.205","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"458","A","504","X","30","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"459","A","504","X","60","0.32","0.16","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1666","D","105","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1667","D","105","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1672","D","110","X","30","240","240","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1673","D","110","X","60","1100","1100","TNTC","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"1678","D","204","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1679","D","204","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"1688","D","308","X","30","3","3","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1689","D","308","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1692","D","402","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1693","D","402","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1694","D","405","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1695","D","405","X","60","4","4","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1698","D","407","X","30","3","3","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1699","D","407","X","60","7","7","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1706","D","501","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1707","D","501","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"1712","D","504","X","30","3","3","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","1","EColi0157"
"1713","D","504","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3192","B","110","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3193","B","110","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3200","B","204","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3201","B","204","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3202","B","405","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3203","B","405","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3212","B","501","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3213","B","501","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3224","B","308","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3225","B","308","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3226","B","407","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3227","B","407","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3228","B","105","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3229","B","105","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3232","B","504","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3233","B","504","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3238","B","402","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"3239","B","402","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","1","EColi0157"
"4672","C","105","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4676","C","110","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4681","C","204","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4682","C","204","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4689","C","308","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4690","C","308","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4693","C","402","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4694","C","402","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4696","C","405","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4697","C","405","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4700","C","407","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4701","C","407","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4708","C","501","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4709","C","501","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4714","C","504","X","30","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4715","C","504","X","60","3","1.5","BDL","EColi0157Culturable_MPNPer100ml","0","bacteriapathogens","culturable","0","EColi0157"
"4717","C","105","X","30","3","3","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"4719","C","110","X","60","7.2","7.2","WR","EColi0157Culturable_MPNPer100ml","1","bacteriapathogens","culturable","0","EColi0157"
"468","A","105","X","10","40.6","40.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"469","A","105","X","20","1791.4","1791.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"470","A","105","X","30","1266.1","1266.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"471","A","105","X","5","92.86666667","92.86666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"472","A","105","X","60","482.4","482.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"473","A","105","X","60","339.2","339.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"533","A","204","X","10","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"534","A","204","X","20","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"535","A","204","X","30","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"536","A","204","X","5","65.5","65.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"537","A","204","X","60","51","51","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"538","A","204","X","60","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"569","A","308","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"570","A","308","X","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"571","A","308","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"572","A","308","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"573","A","308","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"574","A","308","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"581","A","402","X","10","7497.9","7497.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"582","A","402","X","20","5397.9","5397.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"583","A","402","X","30","8600","8600","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"584","A","402","X","5","1500.933333","1500.933333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"585","A","402","X","60","3740","3740","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"586","A","402","X","60","6630","6630","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"599","A","405","X","10","51","51","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"600","A","405","X","20","21.8","21.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"601","A","405","X","30","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"602","A","405","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"603","A","405","X","60","54.1","54.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"604","A","405","X","60","17","17","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"611","A","407","X","10","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"612","A","407","X","20","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"613","A","407","X","30","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"614","A","407","X","5","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"615","A","407","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"616","A","407","X","60","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"647","A","501","X","10","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"648","A","501","X","20","100","100","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"649","A","501","X","30","8.2","8.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"650","A","501","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"651","A","501","X","60","15","15","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"652","A","501","X","60","56.3","56.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"665","A","504","X","10","4","4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"666","A","504","X","20","12.6","12.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"667","A","504","X","30","233","233","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"668","A","504","X","5","12.6","12.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"669","A","504","X","60","26.2","26.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"670","A","504","X","60","133.2","133.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1772","D","105","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1773","D","105","X","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1774","D","105","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1775","D","105","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1776","D","105","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1777","D","105","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1778","D","204","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1779","D","204","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1780","D","308","X","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1781","D","308","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1782","D","308","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1783","D","501","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1784","D","501","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1785","D","501","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1786","D","501","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","1","EColi"
"1801","D","105","X","5","3","3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1830","D","110","X","10","10.4","10.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1831","D","110","X","20","28.8","28.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1832","D","110","X","30","22","22","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1833","D","110","X","30","12.4","12.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1834","D","110","X","5","15","15","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1835","D","110","X","60","57.6","57.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1836","D","110","X","60","42.6","42.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"1872","D","204","X","10","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1873","D","204","X","20","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1874","D","204","X","30","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1875","D","204","X","30","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1876","D","204","X","5","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1912","D","308","X","10","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1913","D","308","X","30","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1914","D","308","X","30","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1915","D","308","X","5","1.5","1.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1923","D","402","X","10","96.5","96.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1924","D","402","X","20","80.1","80.1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1925","D","402","X","30","87","87","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1926","D","402","X","30","64.9","64.9","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1927","D","402","X","5","10.2","10.2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1928","D","402","X","60","197.5","197.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1929","D","402","X","60","166.3","166.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1937","D","405","X","10","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1938","D","405","X","20","3","3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1939","D","405","X","30","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1940","D","405","X","30","50.95","50.95","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1941","D","405","X","5","1.5","1.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1942","D","405","X","60","5.15","5.15","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1943","D","405","X","60","8.45","8.45","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1951","D","407","X","10","24","24","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1952","D","407","X","20","7.4","7.4","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1953","D","407","X","30","6.7","6.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1954","D","407","X","30","5.75","5.75","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1955","D","407","X","5","3.55","3.55","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1956","D","407","X","60","6.3","6.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1957","D","407","X","60","3.55","3.55","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1992","D","501","X","20","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1993","D","501","X","30","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"1994","D","501","X","60","1.5","1.5","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2009","D","504","X","10","6.05","6.05","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2010","D","504","X","20","1","1","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2011","D","504","X","30","23","23","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2012","D","504","X","30","8.85","8.85","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2013","D","504","X","5","22.66666667","22.66666667","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2014","D","504","X","60","16.3","16.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"2015","D","504","X","60","17","17","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"3324","B","110","X","5","246.3333333","246.3333333","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3325","B","110","X","10","400.6","400.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3326","B","110","X","20","350.6","350.6","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3327","B","110","X","30","246.7","246.7","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3328","B","110","X","60","266.8","266.8","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3329","B","110","X","60","172.3","172.3","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","1","EColi"
"3348","B","204","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3349","B","204","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3350","B","204","X","20","2","2","WR","EColiCulturableColilert_MPNPer100ML","1","indicator","culturable","0","EColi"
"3351","B","204","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3352","B","204","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3353","B","204","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3366","B","405","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3367","B","405","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3368","B","405","X","20","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3369","B","405","X","30","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3370","B","405","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3371","B","405","X","60","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3396","B","501","X","5","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
"3397","B","501","X","10","0.5","0.25","BDL","EColiCulturableColilert_MPNPer100ML","0","indicator","culturable","0","EColi"
